26-03-26 11:21:14.533 - INFO: 
| objects    |   auroc_px |   f1_px |   ap_px |   aupro |   auroc_sp |   f1_sp |   ap_sp |
|:-----------|-----------:|--------:|--------:|--------:|-----------:|--------:|--------:|
| carpet     |       90.9 |    33.9 |    26   |    66.3 |       99.3 |    97.8 |    99.8 |
| bottle     |       85.7 |    49.4 |    49.8 |    69.9 |       98.6 |    97.6 |    99.5 |
| hazelnut   |       95.7 |    39.1 |    33.3 |    81.4 |       92.3 |    88.6 |    96   |
| leather    |       95.5 |    30.8 |    20.4 |    86   |      100   |   100   |   100   |
| cable      |       61.3 |    12.2 |     6.2 |    39.4 |       85   |    84.8 |    89.8 |
| capsule    |       87   |    14.3 |     8.6 |    63.7 |       68.6 |    93.5 |    90.5 |
| grid       |       79.4 |    13.7 |     5.7 |    49.3 |       99.2 |    98.2 |    99.7 |
| pill       |       72.7 |    11.8 |     7   |    66.9 |       81.5 |    91.6 |    96.4 |
| transistor |       83.7 |    27   |    20.2 |    45.5 |       89.1 |    80   |    84.9 |
| metal_nut  |       49.3 |    23.8 |    10.8 |    39.6 |       96.2 |    95.3 |    99.1 |
| screw      |       91.1 |    11.3 |     5.4 |    70.2 |       71.6 |    85.9 |    87.7 |
| toothbrush |       86.2 |    10.5 |     5.5 |    67.9 |       85.3 |    88.9 |    94.5 |
| zipper     |       91.7 |    27.8 |    19.4 |    72.1 |       91.2 |    93.4 |    97.5 |
| tile       |       79.1 |    30.8 |    21.2 |    54.5 |       99.9 |    99.4 |   100   |
| wood       |       85.1 |    35.4 |    32.9 |    56.3 |       97.6 |    95.2 |    99.3 |
| mean       |       82.3 |    24.8 |    18.2 |    61.9 |       90.4 |    92.7 |    95.6 |
