Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,91.5,98.9,95.1,92.2,66.9,62.5,82.5,67.5,42.3,32.5,98.2,99.8,97.5,29.2,4.2,0.0
3_adapter,87.5,98.2,94.4,98.3,64.1,61.3,88.7,78.7,57.5,44.1,89.5,98.5,94.8,80.0,52.0,36.0
3pin_aviation_connector,76.6,96.4,93.8,90.3,39.3,42.2,68.2,94.0,87.2,73.7,86.0,97.9,95.2,68.0,60.0,40.0
4_wire_stepping_motor,75.3,96.5,94.1,70.6,1.5,4.5,41.7,96.0,91.2,84.0,92.4,99.1,94.1,92.0,60.0,16.0
D-sub-connector,94.3,99.0,95.8,96.0,61.7,61.5,83.9,45.4,25.5,16.3,97.9,99.6,99.2,4.0,4.0,4.0
DVD_switch,91.5,98.8,96.6,86.2,39.8,41.0,70.2,44.8,36.0,28.0,96.1,99.4,98.5,16.0,12.0,12.0
LED_indicator,74.2,96.0,94.1,84.7,22.8,35.7,61.7,94.4,87.2,75.2,86.6,98.3,94.5,80.0,76.0,68.0
PLCC_socket,83.9,97.8,94.2,98.5,84.9,81.0,84.9,92.0,83.2,62.4,93.6,99.2,95.1,80.0,48.0,16.0
VR_joystick,85.2,96.9,93.1,98.2,67.1,63.4,90.2,71.8,60.6,45.3,89.9,98.3,96.6,44.0,24.0,16.0
access_card,75.2,95.9,94.6,64.5,10.6,17.1,71.8,82.4,78.4,63.2,72.7,96.0,94.5,92.0,88.0,80.0
accurate_detection_switch,81.7,97.3,93.9,91.1,57.4,56.4,76.8,89.8,81.2,57.0,83.9,97.9,94.5,83.3,79.2,58.3
aircraft_model_head,96.0,99.4,97.8,97.4,73.5,74.9,87.9,23.7,19.1,15.3,99.2,99.9,98.5,12.0,4.0,0.0
angled_toggle_switch,87.7,98.2,94.3,87.4,25.4,32.2,61.7,80.5,57.0,42.2,95.5,99.4,96.8,40.0,24.0,20.0
audio_jack_socket,72.7,91.8,91.1,84.1,1.6,3.4,50.7,87.1,76.3,68.6,72.8,95.1,94.8,76.0,68.0,64.0
bag_buckle,93.8,99.2,96.3,99.6,75.5,72.2,97.0,47.2,30.4,23.2,96.6,99.6,96.1,56.0,28.0,4.0
ball_pin,94.2,99.3,95.5,99.1,68.0,62.0,95.3,57.9,45.2,21.4,98.8,99.8,98.0,28.0,0.0,0.0
balun_transformer,79.1,95.8,91.6,95.8,71.4,68.5,68.5,96.5,89.0,73.8,83.7,97.6,94.5,80.0,64.0,52.0
battery,66.8,92.9,93.9,88.6,16.3,23.0,56.3,89.9,84.5,65.9,69.6,94.3,94.6,92.0,92.0,84.0
battery_holder_connector,86.4,97.9,94.3,85.7,36.0,36.7,73.6,76.0,59.7,42.6,96.1,99.5,97.3,36.0,28.0,20.0
battery_socket_connector,68.5,93.1,92.3,87.9,41.2,42.2,56.2,95.1,90.8,80.4,86.5,98.2,94.1,88.0,72.0,44.0
bend_connector,86.0,97.7,93.7,91.1,41.1,43.2,67.3,80.6,66.0,43.1,96.4,99.5,96.8,40.0,16.0,12.0
blade_switch,85.3,97.4,96.0,94.6,51.2,50.3,73.3,56.0,44.0,36.0,86.4,97.8,96.3,48.0,36.0,24.0
blue_light_switch,66.6,91.2,92.6,83.6,15.8,27.9,64.8,88.3,83.1,68.8,62.8,91.7,94.7,80.0,80.0,68.0
bluetooth_module,82.9,97.3,95.2,92.4,59.4,55.8,71.5,68.0,64.0,49.6,82.6,97.4,94.7,76.0,64.0,48.0
