Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
2pin_block_plug,94.2 ± 2.7,99.2 ± 0.4,96.5 ± 0.9,93.0 ± 0.6,70.2 ± 2.3,64.8 ± 1.9,84.0 ± 1.5,44.4 ± 14.8,29.0 ± 13.4,19.8 ± 11.4,98.9 ± 0.8,99.9 ± 0.1,98.3 ± 0.9,18.1 ± 15.8,4.2 ± 4.2,1.4 ± 2.4
3_adapter,92.0 ± 1.1,98.8 ± 0.2,95.4 ± 0.3,98.5 ± 0.1,64.8 ± 0.2,60.4 ± 0.2,89.6 ± 0.0,63.5 ± 4.7,45.7 ± 6.3,26.8 ± 3.2,94.2 ± 1.3,99.1 ± 0.2,97.4 ± 0.6,29.3 ± 8.3,20.0 ± 8.0,14.7 ± 4.6
3pin_aviation_connector,76.2 ± 3.4,96.3 ± 0.6,93.6 ± 0.1,94.1 ± 0.1,54.6 ± 0.4,53.0 ± 1.5,75.5 ± 0.1,96.5 ± 1.1,88.7 ± 3.0,77.2 ± 7.9,76.0 ± 3.5,96.4 ± 0.6,94.3 ± 0.2,86.7 ± 4.6,80.0 ± 4.0,72.0 ± 6.9
4_wire_stepping_motor,77.1 ± 0.8,96.8 ± 0.2,94.2 ± 0.1,71.3 ± 0.2,1.7 ± 0.2,4.7 ± 0.3,43.9 ± 0.3,93.1 ± 1.2,88.8 ± 0.8,79.7 ± 4.7,92.6 ± 1.3,99.1 ± 0.2,95.0 ± 0.3,72.0 ± 4.0,56.0 ± 10.6,26.7 ± 10.1
D-sub-connector,94.8 ± 0.6,99.1 ± 0.1,95.9 ± 0.3,96.0 ± 0.1,63.2 ± 0.5,63.6 ± 0.6,84.9 ± 0.2,49.9 ± 12.1,25.3 ± 3.4,10.8 ± 0.4,98.0 ± 0.1,99.6 ± 0.0,99.6 ± 0.1,4.0 ± 0.0,4.0 ± 0.0,4.0 ± 0.0
DVD_switch,92.5 ± 0.6,98.9 ± 0.1,96.9 ± 0.1,86.4 ± 0.1,39.5 ± 0.1,39.9 ± 0.2,71.0 ± 0.0,37.9 ± 2.4,28.3 ± 2.0,23.2 ± 2.1,96.4 ± 0.6,99.4 ± 0.1,98.6 ± 0.7,16.0 ± 6.9,12.0 ± 0.0,9.3 ± 2.3
LED_indicator,84.2 ± 0.2,97.7 ± 0.1,94.1 ± 0.1,84.6 ± 0.3,22.8 ± 0.7,35.2 ± 0.9,62.3 ± 0.1,90.1 ± 3.3,75.2 ± 4.0,53.1 ± 0.9,87.8 ± 0.8,98.4 ± 0.2,94.7 ± 0.1,73.3 ± 2.3,60.0 ± 6.9,53.3 ± 2.3
PLCC_socket,86.6 ± 1.3,98.2 ± 0.2,94.2 ± 0.1,98.7 ± 0.1,85.7 ± 0.1,81.0 ± 0.2,86.9 ± 0.2,90.1 ± 1.8,78.1 ± 2.3,54.4 ± 4.5,93.3 ± 2.4,99.1 ± 0.3,96.3 ± 0.8,53.3 ± 16.7,41.3 ± 16.7,28.0 ± 18.3
VR_joystick,86.7 ± 0.2,97.2 ± 0.1,93.2 ± 0.2,98.4 ± 0.1,67.5 ± 0.3,62.7 ± 0.2,90.9 ± 0.2,71.8 ± 1.8,53.9 ± 0.7,39.0 ± 1.4,91.7 ± 0.7,98.6 ± 0.1,97.5 ± 0.3,30.7 ± 2.3,18.7 ± 2.3,16.0 ± 0.0
access_card,92.9 ± 0.4,98.9 ± 0.1,96.3 ± 0.1,66.1 ± 0.2,17.6 ± 0.2,26.4 ± 0.3,78.6 ± 0.2,46.7 ± 1.2,33.3 ± 4.4,18.9 ± 0.5,91.3 ± 0.9,98.7 ± 0.2,97.0 ± 0.4,41.3 ± 4.6,32.0 ± 4.0,30.7 ± 2.3
accurate_detection_switch,89.6 ± 0.4,98.5 ± 0.1,94.7 ± 0.1,92.3 ± 0.1,61.2 ± 0.4,59.0 ± 0.3,80.7 ± 0.2,73.7 ± 1.8,52.1 ± 5.3,36.2 ± 0.5,93.6 ± 0.4,99.1 ± 0.1,96.9 ± 0.3,44.4 ± 6.4,27.8 ± 2.4,22.2 ± 2.4
aircraft_model_head,96.7 ± 0.2,99.5 ± 0.0,98.3 ± 0.1,97.5 ± 0.1,72.8 ± 0.2,74.3 ± 0.2,88.0 ± 0.1,20.6 ± 2.7,15.8 ± 1.2,10.2 ± 0.5,99.1 ± 0.0,99.9 ± 0.0,98.4 ± 0.1,20.0 ± 0.0,2.7 ± 2.3,0.0 ± 0.0
angled_toggle_switch,92.1 ± 0.4,98.8 ± 0.1,95.6 ± 0.4,87.0 ± 0.1,25.6 ± 0.3,32.7 ± 0.5,61.5 ± 0.1,56.8 ± 7.5,39.3 ± 1.2,18.2 ± 1.2,96.3 ± 0.5,99.5 ± 0.1,97.8 ± 0.3,25.3 ± 2.3,24.0 ± 4.0,16.0 ± 4.0
audio_jack_socket,75.8 ± 0.4,92.5 ± 0.2,91.5 ± 0.3,83.6 ± 0.2,1.5 ± 0.1,3.4 ± 0.1,46.9 ± 0.6,78.9 ± 3.2,68.7 ± 1.1,56.0 ± 0.8,86.5 ± 1.7,97.8 ± 0.3,95.4 ± 0.6,66.7 ± 12.9,49.3 ± 4.6,29.3 ± 4.6
