Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,75.1 ± 0.9,66.5 ± 0.9,58.6 ± 1.2,96.9 ± 0.1,31.2 ± 4.8,38.7 ± 5.0,80.7 ± 0.3,82.8 ± 4.1,74.8 ± 4.6,64.3 ± 4.9,84.1 ± 4.9,91.9 ± 2.1,86.2 ± 3.7,65.6 ± 19.3,54.6 ± 19.3,45.4 ± 16.5
bottle_cap,81.0 ± 1.1,78.3 ± 1.0,72.5 ± 0.7,98.8 ± 0.1,31.7 ± 0.6,38.5 ± 0.3,94.1 ± 0.2,82.5 ± 4.3,68.9 ± 4.1,50.0 ± 1.9,93.4 ± 0.4,97.0 ± 0.1,89.2 ± 0.2,52.5 ± 4.9,39.3 ± 1.3,27.1 ± 1.2
button_battery,76.2 ± 1.2,83.4 ± 0.5,74.6 ± 0.9,98.5 ± 0.1,61.4 ± 1.0,60.0 ± 0.9,88.5 ± 0.5,90.6 ± 2.3,81.3 ± 4.0,69.1 ± 4.9,84.5 ± 2.8,93.1 ± 1.3,84.3 ± 1.9,84.8 ± 1.2,71.0 ± 10.1,55.1 ± 10.2
end_cap,78.4 ± 1.1,83.7 ± 0.8,76.9 ± 0.7,97.1 ± 0.2,27.5 ± 0.5,34.7 ± 0.4,89.4 ± 0.7,86.2 ± 1.1,74.9 ± 0.8,61.0 ± 2.3,85.7 ± 1.9,92.9 ± 0.8,85.7 ± 1.3,73.0 ± 6.1,61.4 ± 9.6,45.4 ± 7.1
eraser,89.4 ± 0.9,87.7 ± 0.8,77.4 ± 1.0,99.6 ± 0.1,49.8 ± 0.3,50.4 ± 0.2,96.2 ± 0.3,72.4 ± 4.0,53.8 ± 4.4,37.3 ± 2.2,85.5 ± 2.1,93.3 ± 0.9,84.9 ± 1.3,79.1 ± 7.2,65.2 ± 9.8,50.8 ± 6.4
fire_hood,87.1 ± 0.4,79.1 ± 0.1,74.6 ± 0.4,99.2 ± 0.1,32.2 ± 0.6,41.1 ± 0.3,90.8 ± 0.3,70.6 ± 0.8,55.6 ± 0.6,37.8 ± 2.6,87.4 ± 1.1,92.5 ± 0.4,87.4 ± 1.5,73.2 ± 2.8,53.1 ± 6.1,34.1 ± 7.4
mint,71.8 ± 0.4,71.1 ± 0.8,67.3 ± 0.6,93.0 ± 0.1,26.9 ± 1.3,37.5 ± 0.8,73.3 ± 0.3,92.3 ± 0.9,83.7 ± 2.5,71.0 ± 1.0,73.2 ± 1.6,93.0 ± 0.5,89.8 ± 0.1,93.8 ± 1.2,87.4 ± 2.4,76.7 ± 5.7
mounts,86.2 ± 0.3,72.1 ± 0.6,74.4 ± 0.4,98.6 ± 0.1,36.8 ± 0.6,42.9 ± 0.3,95.8 ± 0.2,63.3 ± 2.8,44.4 ± 1.6,30.0 ± 1.0,96.9 ± 0.7,98.6 ± 0.3,95.0 ± 0.9,37.0 ± 11.9,14.2 ± 5.9,4.8 ± 1.2
pcb,75.8 ± 0.6,84.8 ± 0.6,76.7 ± 0.1,97.8 ± 0.1,28.3 ± 1.6,35.8 ± 1.5,88.8 ± 0.5,92.3 ± 1.3,82.0 ± 0.8,69.9 ± 0.5,82.0 ± 1.5,91.3 ± 1.1,83.0 ± 0.2,85.5 ± 1.3,72.6 ± 3.3,58.9 ± 1.7
phone_battery,89.8 ± 0.2,89.6 ± 0.2,80.3 ± 0.3,99.3 ± 0.0,62.0 ± 0.1,63.4 ± 0.1,94.6 ± 0.1,82.0 ± 1.7,58.5 ± 2.0,37.9 ± 1.6,92.4 ± 0.4,96.7 ± 0.2,89.2 ± 0.4,67.8 ± 3.8,45.9 ± 3.4,28.6 ± 2.9
