Name,"I-AUROC,","I-AP,","I-F1max,","P-AUROC,","P-AP,","P-F1max,","P-AUPRO,","I-Overkill@2,","I-Overkill@5,","I-Overkill@10,","S-AUROC,","S-AP,","S-F1max,","S-Overkill@2,","S-Overkill@5,",S-Overkill@10
audiojack,74.9,67.1,58.1,96.9,33.3,41.4,80.7,84.0,76.8,66.4,82.7,91.4,84.9,72.0,61.0,50.8
bottle_cap,81.5,78.7,72.4,98.8,31.9,38.6,94.2,78.0,64.8,48.6,93.1,96.9,89.0,56.9,40.7,28.5
button_battery,76.2,83.7,74.3,98.6,62.5,61.0,88.9,91.5,84.6,72.9,87.4,94.3,86.4,83.4,60.2,43.6
end_cap,77.5,83.3,76.3,96.9,27.0,34.6,88.7,87.4,75.9,62.9,84.2,92.4,84.4,80.1,71.4,52.3
eraser,90.3,88.6,78.5,99.6,50.1,50.4,96.5,69.3,49.7,35.4,87.8,94.3,85.9,74.0,58.5,45.1
fire_hood,87.4,79.1,75.0,99.2,31.9,41.3,91.1,69.8,54.9,34.9,88.4,92.9,88.7,71.2,47.6,27.2
mint,72.1,71.9,67.1,93.1,28.2,38.3,73.6,91.5,83.4,71.3,75.0,93.6,89.7,92.8,87.4,74.3
mounts,86.0,71.4,74.4,98.6,36.5,42.6,95.9,66.4,43.4,29.9,96.9,98.6,95.4,40.6,14.1,4.8
pcb,76.4,85.4,76.6,97.8,26.9,34.4,89.2,91.2,82.7,70.4,83.7,92.6,82.9,85.0,76.0,57.3
phone_battery,89.9,89.7,80.3,99.3,62.0,63.5,94.6,83.4,59.9,36.1,92.9,96.9,89.7,72.2,42.3,25.3
plastic_nut,78.9,72.9,64.0,97.7,40.7,44.1,87.9,89.2,80.0,65.0,92.1,95.9,89.4,47.8,36.3,26.7
plastic_plug,82.6,78.5,68.3,97.4,28.5,38.0,90.4,78.6,67.9,53.9,90.3,95.6,87.3,66.1,51.2,36.8
porcelain_doll,92.7,89.1,80.9,99.5,49.3,49.4,97.5,64.2,38.5,22.2,98.0,99.1,95.8,18.7,8.7,5.0
regulator,74.1,60.8,55.3,96.9,19.2,29.1,84.1,90.8,84.9,74.7,73.0,85.2,82.1,87.1,80.3,65.5
rolled_strip_base,91.6,95.4,89.4,99.5,33.1,41.9,98.3,57.6,38.6,23.5,96.3,98.1,93.5,36.7,20.6,8.9
sim_card_set,96.2,96.9,91.1,99.7,56.9,60.6,96.8,34.0,20.0,9.9,96.4,98.3,94.0,50.2,17.7,8.0
switch,87.4,90.2,79.9,94.0,36.6,45.8,88.4,81.2,63.3,42.8,94.3,97.5,90.9,59.8,37.8,18.7
tape,94.9,93.9,86.3,99.0,45.9,51.2,93.3,52.4,32.6,17.6,98.7,99.4,96.6,15.2,6.4,2.0
terminalblock,87.9,90.4,79.9,98.9,48.2,52.8,96.9,65.3,50.8,39.7,92.5,96.9,89.1,67.1,53.1,30.5
toothbrush,74.1,80.5,70.9,93.8,23.2,32.0,71.3,94.5,88.4,76.0,90.4,94.9,89.3,65.6,45.1,26.6
toy,66.4,75.3,73.7,84.3,17.2,25.2,73.4,94.4,86.9,77.7,67.3,83.5,80.4,94.4,88.0,79.1
toy_brick,72.2,66.5,63.1,97.2,26.6,32.4,84.2,88.1,76.7,67.8,74.9,86.4,81.9,86.3,77.0,67.3
transistor1,77.1,81.4,76.9,95.3,34.7,42.3,79.9,88.8,74.4,58.1,77.5,88.3,82.7,82.7,70.6,60.1
u_block,84.9,80.1,69.6,99.1,50.1,56.0,92.8,83.8,69.4,52.0,92.7,96.6,89.6,76.7,44.2,22.5
usb,81.4,81.9,73.5,96.9,24.7,35.5,87.6,90.5,77.4,65.8,88.8,94.4,87.7,77.2,54.9,33.3
usb_adaptor,83.7,78.8,70.4,98.9,30.5,35.8,92.0,75.1,60.6,47.0,92.3,96.5,91.1,69.6,44.3,20.4
vcpill,86.5,84.9,73.7,97.9,52.4,59.8,82.6,77.3,61.1,49.0,91.0,95.6,87.6,62.3,45.2,33.7
wooden_beads,88.9,88.7,78.0,98.7,48.5,53.5,90.8,74.6,57.6,39.0,92.3,97.2,91.7,80.6,59.9,18.0
woodstick,81.0,67.6,61.9,97.8,53.8,54.7,85.1,84.2,66.3,52.1,77.2,87.7,81.0,90.8,82.0,68.0
zipper,96.5,97.8,93.2,97.7,27.3,27.9,93.0,24.2,14.7,10.0,98.7,99.3,96.5,12.0,7.6,4.0
Mean,83.0,81.7,74.4,97.3,37.9,43.8,88.7,76.7,62.9,49.1,88.2,94.3,88.5,65.8,49.7,34.8
